# Lines starting with "#" are ignored
#
#  LSSS species  Nation  Platform  BEI species
#
         54        58       12      54 Plankton, Lysprikkfisk
         55        58       12      55 Andre sorter, Bunnfisk
         56        58       12      56 Hvitting, Brosme, Sil
         57        58       12      57 Plankton, 0-gruppe blandet
         58        58       12      58 I-Sild, 0-Sild
         59        58       12      59 II-Lodde, I-Lodde
         60        58       12      60 Andre sorter, II-Sild
         61        58       12      61 0-Sild, Brisling
         62        58       12      62 Bunnfisk, Oeyepaal, Torsk
         63        58       12      63 Bunnfisk, Hyse, Torsk
         64        58       12      64 Pelagisk fisk, Lysprikkfisk
         65        58       12      65
         66        58       12      66 Andre sorter, Uer
         67        58       12      67 Maneter, Reker, Plankton, Lysprikk
         68        58       12      68 Pelagisk, Maneter, Plankton, Lysprikk
         69        58       12      69 Makrell, Sei
       5003        58       12      70 Taggmakrell
       5002        58       12      70 Skolest
       5005        58       12      71 Laksesild
       5006        58       12      71 Vassild, Skolest
       5033        58       12      72 Stroemsild
       5024        58       12      73 Vassild-Stroemsild
       5013        58       12      74 Mesopelagic fish
          0        58       14       0 Utolkede data (raadata)
          1        58       14       1 Andre sorter
          2        58       14       2 Bunnfisk
          3        58       14       3 Pelagisk fisk
          4        58       14       4 Maneter
          5        58       14       5 Reker
          6        58       14       6 Plankton
          7        58       14       7 Lysprikkfisk
          8        58       14       8 Polartorsk
          9        58       14       9 II-Sild
         10        58       14      10 I-Sild
         11        58       14      11 0-Sild
         12        58       14      12 Sild
         13        58       14      13 II-Lodde
         14        58       14      14 I-Lodde
         15        58       14      15 0-Lodde
         16        58       14      16 Lodde
         17        58       14      17 0-gruppe blandet
         18        58       14      18 Hvitting
         19        58       14      19 Lyr
         20        58       14      20 Brisling
         21        58       14      21 Makrell
         22        58       14      22 Sei
         23        58       14      23 Vassild
         24        58       14      24 Kolmule
         25        58       14      25 Brosme
         26        58       14      26 Lange
         27        58       14      27 Sil
         28        58       14      28 Oeyepaal
         29        58       14      29 Uer
         30        58       14      30 Hyse
         31        58       14      31 Torsk
         32        58       14      32 0-Uer
         33        58       14      33 0-Polartorsk
         40        58       14      40
         41        58       14      41 Hyse, Torsk
         42        58       14      42 Vassild, Kolmule
         43        58       14      43 Andre sorter, Lodde
         44        58       14      44 Pelagisk fisk, Plankton
         45        58       14      45 Andre sorter, Plankton
         46        58       14      46 Plankton, 0-Sild, 0-Lodde
         47        58       14      47 Uer, Hyse, Torsk
         48        58       14      48 Lodde, Kolmule
         49        58       14      49 Lysprikkfisk, Kolmule
         50        58       14      50 Kolmule, Uer
         51        58       14      51 Andre sorte, 0-Sild, Sild
         52        58       14      52 Bunnfisk
         53        58       14      53 Sild, Brisling
         54        58       14      54 Plankton, Lysprikkfisk
         55        58       14      55 Andre sorter, Bunnfisk
         56        58       14      56 Hvitting, Brosme, Sil
         57        58       14      57 Plankton, 0-gruppe blandet
         58        58       14      58 I-Sild, 0-Sild
         59        58       14      59 II-Lodde, I-Lodde
         60        58       14      60 Andre sorter, II-Sild
         61        58       14      61 0-Sild, Brisling
         62        58       14      62 Bunnfisk, Oeyepaal, Torsk
         63        58       14      63 Bunnfisk, Hyse, Torsk
         64        58       14      64 Pelagisk fisk, Lysprikkfisk
         65        58       14      65
         66        58       14      66 Andre sorter, Uer
         67        58       14      67 Maneter, Reker, Plankton, Lysprikk
         68        58       14      68 Pelagisk, Maneter, Plankton, Lysprikk
         69        58       14      69 Makrell, Sei
       5004        58       14      70 Pilchard
       5007        58       14      71 Anchovy or Vassild, Skolest
       5008        58       14      72 Round herring
       5009        58       14      73 Trachurus trecae
       5010        58       14      74 Hake
       5011        58       14      75 Dentex
       5012        58       14      76 Other demersal fish
       5013        58       14      77 Mesopelagic fish
       5014        58       14      78 Anchovy, Round herring
       5015        58       14      79 Sardinella
       5016        58       14      80 Pelagic 1 fish
       5017        58       14      81 Pelagic 2 fish
       5018        58       14      82 Brachydeuterus
       5019        58       14      83 Sardinella aurita
       5020        58       14      84 Sardinella maderensis
       5021        58       14      85 Decapterus rhonchus
       5003        58       14      86 Taggmakrell
          3        58       14      87 Pelagisk fisk
       5022        58       14      88 Plankton  mesopelagic fish
       5023        58       14      89 Gobies
       5040        58       14      90 Alfonsino
       5842        58       14      91 Orange Roughy
       5039        58       14      92 Rat-Tails
          0        58       15       0 Utolkede data (raadata)
          1        58       15       1 Andre sorter
          2        58       15       2 Bunnfisk
          3        58       15       3 Pelagisk fisk
          4        58       15       4 Maneter
          5        58       15       5 Reker
          6        58       15       6 Plankton
          7        58       15       7 Lysprikkfisk
          8        58       15       8 Polartorsk
          9        58       15       9 II-Sild
         10        58       15      10 I-Sild
         11        58       15      11 0-Sild
         12        58       15      12 Sild
         13        58       15      13 II-Lodde
         14        58       15      14 I-Lodde
         15        58       15      15 0-Lodde
         16        58       15      16 Lodde
         17        58       15      17 0-gruppe blandet
         18        58       15      18 Hvitting
         19        58       15      19 Lyr
         20        58       15      20 Brisling
         21        58       15      21 Makrell
         22        58       15      22 Sei
         23        58       15      23 Vassild
         24        58       15      24 Kolmule
         25        58       15      25 Brosme
         26        58       15      26 Lange
         27        58       15      27 Sil
         28        58       15      28 Oeyepaal
         29        58       15      29 Uer
         30        58       15      30 Hyse
         31        58       15      31 Torsk
         32        58       15      32 0-Uer
         33        58       15      33 0-Polartorsk
         40        58       15      40
         41        58       15      41 Hyse, Torsk
         42        58       15      42 Vassild, Kolmule
         43        58       15      43 Andre sorter, Lodde
         44        58       15      44 Pelagisk fisk, Plankton
         45        58       15      45 Andre sorter, Plankton
         46        58       15      46 Plankton, 0-Sild, 0-Lodde
         47        58       15      47 Uer, Hyse, Torsk
         48        58       15      48 Lodde, Kolmule
         49        58       15      49 Lysprikkfisk, Kolmule
         50        58       15      50 Kolmule, Uer
         51        58       15      51 Andre sorte, 0-Sild, Sild
         52        58       15      52 Bunnfisk
         53        58       15      53 Sild, Brisling
         54        58       15      54 Plankton, Lysprikkfisk
         55        58       15      55 Andre sorter, Bunnfisk
         56        58       15      56 Hvitting, Brosme, Sil
         57        58       15      57 Plankton, 0-gruppe blandet
         58        58       15      58 I-Sild, 0-Sild
         59        58       15      59 II-Lodde, I-Lodde
         60        58       15      60 Andre sorter, II-Sild
         61        58       15      61 0-Sild, Brisling
         62        58       15      62 Bunnfisk, Oeyepaal, Torsk
         63        58       15      63 Bunnfisk, Hyse, Torsk
         64        58       15      64 Pelagisk fisk, Lysprikkfisk
         65        58       15      65
         66        58       15      66 Andre sorter, Uer
         67        58       15      67 Maneter, Reker, Plankton, Lysprikk
         68        58       15      68 Pelagisk, Maneter, Plankton, Lysprikk
         69        58       15      69 Makrell, Sei
       5003        58       15      70 Taggmakrell
       5002        58       15      70 Skolest
       5006        58       15      71 Vassild, Skolest
       5005        58       15      72 Laksesild
       5013        58       15      73 Mesopelagic fish
       5025        58       15      74 Gonatus
       5027        58       15      75 0-gr. tobis
       5022        58       15      76 Mesopelagisk, Plankton
